Unnamed: 0.1,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,seulement,only
4,4,pensais,thought
5,5,aide,help
6,6,demande,request
8,8,mois,month
9,9,frère,brother
11,12,mettre,to put
12,13,aucun,no
13,14,laisse,leash
14,15,eux,them
15,16,ville,city
16,17,parlé,speak
17,18,arrivé,come
19,20,bébé,baby
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,revoir,meet again
25,27,place,square
27,33,pourrais,could
28,35,donner,give
29,37,train,train
30,40,yeux,eyes
31,42,trouve,find
34,48,sois,be
35,50,matin,morning
36,51,tellement,so much
37,52,enfant,child
38,53,point,point
39,54,venu,came
40,55,suite,after
41,58,vers,towards
43,60,demandé,request
44,61,chambre,bedroom
45,63,belle,beautiful
46,64,droit,law
47,65,aimerais,would like to
48,66,mari,husband
49,67,cause,cause
50,68,enfin,finally
51,70,eau,water
52,71,attendez,Wait
53,73,nouvelle,new
54,75,dirait,would say
55,76,compte,account
56,77,donne,given
57,79,fin,end
58,80,croire,believe
59,83,aura,will have
60,84,filles,girls
61,85,jouer,to play
62,86,bureau,office
